org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips,score,rank,delta rank
BAAI,0.0005958718934381593,0.0022364901584755823,0.0,0.007481298650831239,0.0010509309667399661,0.0,0.13610602058943685,0.013963665678173495,0.024475524475524476,0.11969111969111969,0.0,0.2222222222222222,0.1879432624113475,0.0,0.2807017543859649,0.11144957868092613,0.11291850915982313,1.0,0.12337979160911239,8,-4.0
ShanghaiAILab,0.016762093298814236,0.007720900938286296,0.0,0.0,0.03879084754172926,0.00018727706996421667,0.0,0.012869605274522787,0.2062937062937063,0.25868725868725867,0.0,0.0,1.0,0.4444444444444444,0.0,0.11803508618139183,0.18809222994314592,0.25,0.1412157472040702,6,-1.0
Baidu,0.011008236070174619,0.004297248608350262,0.0,0.0,0.0009089644865976793,0.0,0.0,0.0020921505964548604,0.16783216783216784,0.05791505791505792,0.0,0.0,0.06382978723404255,0.0,0.0,0.013686021411117563,0.026531901452937462,0.5,0.04711675197816115,15,-7.0
Baichuan,0.0,0.005007010333474012,0.0,0.0,1.2124037245928068e-05,0.0,0.0,0.000652597433756562,0.0,0.032818532818532815,0.0,0.0,0.014184397163120567,0.0,0.0,0.04065263365512103,0.044061907770056856,0.25,0.02152162240062821,23,-11.0
Zhipu,0.01099957173096759,0.05361747830035417,0.018005337149593164,0.0,0.008025893995061857,0.0,0.0,0.00804230366894116,0.013986013986013986,0.28957528957528955,0.005383580080753701,0.0,0.20212765957446807,0.0,0.0,0.3631452646804221,0.315698041692988,0.25,0.08547813524638075,12,-6.0
Ali,0.17332332885136564,1.0,1.0,0.19249790520601842,0.15746259776110372,0.0,0.045440275567156824,1.0,0.5629370629370629,0.9111969111969112,0.2395693135935397,1.0,0.4787234042553192,0.0,0.2807017543859649,1.0,1.0,0.25,0.5162140307641357,2,0.0
Huawei,0.0,0.0001738340539822614,0.0,0.0,0.0,0.0,0.0,2.8791063253965968e-05,0.0,0.023166023166023165,0.0,0.0,0.0,0.0,0.0,6.574549917270247e-05,0.0026847757422615286,0.5,0.02922884275137187,20,-10.0
LMSYS,0.0,0.016446658619333015,0.0,0.0,0.0,0.0,0.0,0.007533661551454429,0.0,0.0637065637065637,0.0,0.0,0.0,0.0,0.0,0.039271978172494275,0.030480101073910297,0.25,0.022635497951319763,22,-11.0
Falcon,0.0,0.02136097560963412,0.0,0.0,1.7964643664196727e-05,0.0,0.0,0.014616263111930056,0.0,0.16988416988416988,0.0,0.0,0.0035460992907801418,0.0,0.0,0.09920995825160803,0.11891977258370183,0.25,0.03764195574308268,18,-9.0
EleutherAI,0.0,0.05086969386143822,0.0,0.0,0.0,0.0029202795107079044,3.666728323878666e-08,0.031958080211902225,0.0,0.19498069498069498,0.0,0.0,0.0,0.3333333333333333,0.008771929824561403,0.04870645730377708,0.04532533164876816,0.25,0.05371476874124814,14,-7.0
Meta,0.928719253774349,0.9874478009879646,0.6400667784322197,1.0,0.04770911386034749,1.0,0.02017650260769151,0.2957897868501617,1.0,0.305019305019305,1.0,0.5555555555555556,0.13829787234042554,0.8888888888888888,0.14912280701754385,0.7877735286705164,0.7784270372710044,0.5,0.6123885684042208,1,0.0
Google,1.0,0.20508513869122696,0.00015212719385806735,0.0,0.14455347134379623,0.0,3.848372403923117e-05,0.45518671004520195,0.21328671328671328,0.416988416988417,0.006729475100942127,0.0,0.40425531914893614,0.0,0.043859649122807015,0.37550541852489017,0.39166140240050534,0.5,0.2309612403095185,4,-1.0
Deepseek,0.0,0.26085599376753543,0.0,0.0,0.007147384000842929,0.0,0.0,0.051631973435445636,0.0,0.12548262548262548,0.0,0.0,0.03900709219858156,0.0,0.0,0.5489968332584565,0.2815855969677827,0.25,0.08692819439507056,11,
OpenBMB,2.159162074888733e-05,0.007622514631257465,9.630843188060186e-07,0.0,0.008406732613755494,0.0,1.8724994353961148e-05,0.003186211000105567,0.0034965034965034965,0.1776061776061776,0.0013458950201884253,0.0,0.19148936170212766,0.0,0.03508771929824561,0.17868530916820985,0.15192672141503474,0.25,0.05604969031394597,13,
01-AI,0.0,0.005397229803787708,0.0,0.0,5.045722851101416e-06,0.0,0.0,0.021756446798913618,0.0,0.09073359073359073,0.0,0.0,0.014184397163120567,0.0,0.0,0.1011165777276164,0.08780795957043588,0.25,0.031722291528906446,19,
Ai2,0.0008048143644921068,0.014275249956885314,0.0,0.0,0.006007917032077599,0.0,0.0019926122884655704,0.010796648720237239,0.01048951048951049,1.0,0.0,0.0,0.03900709219858156,0.0,0.12280701754385964,0.06077075640196798,0.09870499052432091,0.25,0.08975870052891101,10,
OpenAI,0.00024089632086288131,0.03370834739452341,0.0,0.04871989872126489,1.0,0.0,0.0,0.08705457825890843,0.027972027972027972,0.003861003861003861,0.0,0.2222222222222222,0.06028368794326241,0.0,0.0,0.24036554497540022,0.18114339861023374,0.25,0.11975397812665056,9,
Nvidia,0.11409969926144196,0.03835293347994563,0.1973038913106606,0.0036681664177201354,0.004939227706336196,3.123596219518708e-06,0.0008966462312399188,0.01976026641330531,0.27972027972027974,0.2876447876447876,0.12920592193808883,0.3333333333333333,0.13829787234042554,0.3333333333333333,0.08771929824561403,0.21291679907079694,0.19583070120025267,0.25,0.1459459045135434,5,
Microsoft,0.5635720821757411,0.18285916320638515,0.14517077849688392,0.03682435304261236,0.09348078566528319,8.311096157795782e-06,0.0,0.10241940901544161,0.23776223776223776,0.20270270270270271,0.03768506056527591,0.2222222222222222,0.3120567375886525,1.0,0.0,0.4229627113443859,0.37286797220467466,0.25,0.2323663626160365,3,
Apple,0.06744532235389823,0.03425432179934133,0.0,0.0,0.007719423747755246,0.0,0.0,0.002168926765132103,0.1888111888111888,0.02895752895752896,0.0,0.0,0.12056737588652482,0.0,0.0,0.04953923362663131,0.06506632975363234,0.25,0.0452516473167574,16,
HuggingFace,0.00020605678701190924,0.04951023687561297,0.0,0.0,0.0049274337245506835,0.0,0.0,0.039597308995287864,0.0034965034965034965,0.1525096525096525,0.0,0.0,0.04609929078014184,0.0,0.0,0.1035929915297882,0.09759949463044852,0.25,0.04152994274049989,17,
Princeton NLP,0.0,0.004756539372689451,0.0,0.0,0.0,0.0,0.0,0.008253438132803577,0.0,0.20270270270270271,0.0,0.0,0.0,0.0,0.0,0.006070501090279528,0.025268477574226154,0.25,0.02761398104848341,21,
UKP Lab,0.0,0.0,0.0,0.0,0.0020806517444549835,0.0,1.0,0.018656608988569946,0.0,0.0,0.0,0.0,0.0035460992907801418,0.0,1.0,0.09895793383811266,0.09491471888818699,0.25,0.13711977848611692,7,
